# Places with Complete Addresses

| Name | Address | Place |
| Waterspeeltuin Cronestein | Kanaalweg 130, 2321 JZ Leiden | Playground |
| Water playground Delftsehout | Korftlaan 3A, 2616 LJ Delft | Playground |
| Waterspeelzone speeltuin | Leistertweg 2, 6088 NW Roggel | Playground |
| Speeltuin Kitskensberg | Oude Keulsebaan 150, 6045 GB Roermond | Playground |
| Stichting Speeltuin de Paddestoel | Florianstraat 3a, 6121 MA Born | Playground |
| Speeltuin Hunsel | Jacobusstraat 18, 6013 RK Hunsel | Playground |
| Natuur en Milieucentrum De IJzeren Man | Geurtsvenweg 4, 6006 SN Weert | Museum |
| de Bosuil | Bosuilstraat 4, 3910 Neerpelt, Belgium | Playground |
| Natuurspeelpark | IJsselsingel 103, 6991 ZR Rheden | Playground |
| Speeltuin De Viking | Speeltuinpad 2, 5666 TD Geldrop | Playground |
| Brasserie Cis | Eindhovenseweg 39, 5283 RA Boxtel | Restaurant |
| Pukkemuk Dongen | Vaartweg 192A, 5106 NG Dongen | Playground |
| Uitspanning De Zeven Geitjes | Reeshofdijk 18, 5044 VB Tilburg | Restaurant |
| Zandziebar | Valburgsestraat 45, 6677 PC Slijk-Ewijk | Playground |
| Steinerbos | Stadhouderslaan 220, 6171 KP Stein | Playground |
| 't Kwekkeltje | Sportlaan 14a, 5242 CR Rosmalen | Playground |
| Foundation Playground "Helmond-West" | Arbergstraat 85, 5707 TK Helmond | Playground |
| Speeltuin Leonardus | Monseigneur Swinkelsstraat 24, 5701 XM Helmond | Playground |
| the Speuldries | Rembrandt van Rijnstraat 5, 5753 BE Deurne | Playground |
| The playground Rijpelroets | Theo Driessenhof 75, 5709 BB Helmond | Playground |
| Speeltuinvereniging Het Zonnehoekje | Doctor Douvenstraat 13, 5421 JR Gemert | Playground |
| Speeltuinvereniging "Bijdorp" | Krelagehove 2, 2172 VE Sassenheim | Playground |
| De Kievit Playground | Wilgenlaan 5, 2651 TA Berkel en Rodenrijs | Playground |
| Boscafé Molenvelden | Banstraat 25, 5506 LA Veldhoven | Restaurant |
| Eetcafe Zout | Het Louwtje 10, 2691 KR 's-Gravenzande | Restaurant |
| Plaswijckpark | Ringdijk 20, 3054 KW Rotterdam | Playground |
| Impuls Bouwspeelplaats Het Landje | Staalmeesterslaan 197 A, 1057 NT Amsterdam | Playground |
| Landschapspark met speeleiland | Nieuwe Zeeweg, 2202 EG Noordwijk | Playground |
| Speeltuinvereniging "Vogelenwijk" | Nachtegaallaan 25, 2333 XT Leiden | Playground |
| Jip En Janneke Speeltuin | Baambruggestraat, 2546 SK Den Haag | Playground |
| Water playground Trekvliet | Trekweg 121, 2516 SB Den Haag | Playground |
| BatensteinBuiten | Van Helvoortlaan 40, 3443 AP Woerden | Playground |
| Restaurant Café Soesterdal | Verlengde Tempellaan 2, 3768 SB Soesterberg | Restaurant |
| Restaurant Nationaal Militair Museum | Verlengde Paltzerweg 1, 3768 MX Soest | Playground |
| playground Westerkwartier | Ten Katestraat 10-A, 2321 AW Leiden | Playground |
